variable	gene	gene_id	seqnames	logFC	CI.L	CI.R	P.Value	adj.P.Val
Hemostasis	TNFRSF10D	ENSG00000173530.6	chr8	0.796835617030776	0.463482644613333	1.13018858944822	3.30682551555627e-06	8.19942417607249e-05
inflammatory response	CD163	ENSG00000177575.13	chr12	0.778182786159411	0.3726339177727	1.18373165454612	0.00018031892218029	0.00178968738508261
cellular response to cytokine stimulus	TNFRSF12A	ENSG00000006327.14	chr16	0.739298160261481	0.475010696441455	1.00358562408151	5.794550605231e-08	3.89498157507068e-06
tube morphogenesis	TNFRSF12A	ENSG00000006327.14	chr16	0.739298160261481	0.475010696441455	1.00358562408151	5.794550605231e-08	3.89498157507068e-06
cell activation	SOCS3	ENSG00000184557.4	chr17	0.724788629583144	0.391143428529325	1.05843383063696	2.30590566198314e-05	0.000367468089931538
tube morphogenesis	SOCS3	ENSG00000184557.4	chr17	0.724788629583144	0.391143428529325	1.05843383063696	2.30590566198314e-05	0.000367468089931538
Osteoclast differentiation	SOCS3	ENSG00000184557.4	chr17	0.724788629583144	0.391143428529325	1.05843383063696	2.30590566198314e-05	0.000367468089931538
positive regulation of cytokine production	SOCS3	ENSG00000184557.4	chr17	0.724788629583144	0.391143428529325	1.05843383063696	2.30590566198314e-05	0.000367468089931538
negative regulation of immune system process	SOCS3	ENSG00000184557.4	chr17	0.724788629583144	0.391143428529325	1.05843383063696	2.30590566198314e-05	0.000367468089931538
cellular response to cytokine stimulus	SOCS3	ENSG00000184557.4	chr17	0.724788629583144	0.391143428529325	1.05843383063696	2.30590566198314e-05	0.000367468089931538
inflammatory response	CXCL8	ENSG00000169429.11	chr4	0.711208302884327	0.309783132034613	1.11263347373404	0.000538442777519998	0.00404702380157187
VEGFA-VEGFR2 signaling	CXCL8	ENSG00000169429.11	chr4	0.711208302884327	0.309783132034613	1.11263347373404	0.000538442777519998	0.00404702380157187
cellular response to cytokine stimulus	CXCL8	ENSG00000169429.11	chr4	0.711208302884327	0.309783132034613	1.11263347373404	0.000538442777519998	0.00404702380157187
positive regulation of cell migration	CXCL8	ENSG00000169429.11	chr4	0.711208302884327	0.309783132034613	1.11263347373404	0.000538442777519998	0.00404702380157187
cell activation	CXCL8	ENSG00000169429.11	chr4	0.711208302884327	0.309783132034613	1.11263347373404	0.000538442777519998	0.00404702380157187
tube morphogenesis	CXCL8	ENSG00000169429.11	chr4	0.711208302884327	0.309783132034613	1.11263347373404	0.000538442777519998	0.00404702380157187
positive regulation of cytokine production	CXCL8	ENSG00000169429.11	chr4	0.711208302884327	0.309783132034613	1.11263347373404	0.000538442777519998	0.00404702380157187
enzyme-linked receptor protein signaling pathway	CXCL8	ENSG00000169429.11	chr4	0.711208302884327	0.309783132034613	1.11263347373404	0.000538442777519998	0.00404702380157187
Malignant pleural mesothelioma	CXCL8	ENSG00000169429.11	chr4	0.711208302884327	0.309783132034613	1.11263347373404	0.000538442777519998	0.00404702380157187
negative regulation of cell population proliferation	CXCL8	ENSG00000169429.11	chr4	0.711208302884327	0.309783132034613	1.11263347373404	0.000538442777519998	0.00404702380157187
cellular response to cytokine stimulus	CARD14	ENSG00000141527.18	chr17	0.689810919781982	0.415634676579152	0.963987162984812	1.0059450195569e-06	3.23521954929151e-05
regulation of kinase activity	CARD14	ENSG00000141527.18	chr17	0.689810919781982	0.415634676579152	0.963987162984812	1.0059450195569e-06	3.23521954929151e-05
regulation of tumor necrosis factor superfamily cytokine production	FOXJ1	ENSG00000129654.8	chr17	0.673203306393908	0.336810042789382	1.00959656999843	9.46269999117928e-05	0.00107972223632257
negative regulation of immune system process	FOXJ1	ENSG00000129654.8	chr17	0.673203306393908	0.336810042789382	1.00959656999843	9.46269999117928e-05	0.00107972223632257
regulation of cell activation	FOXJ1	ENSG00000129654.8	chr17	0.673203306393908	0.336810042789382	1.00959656999843	9.46269999117928e-05	0.00107972223632257
negative regulation of cell population proliferation	FOXJ1	ENSG00000129654.8	chr17	0.673203306393908	0.336810042789382	1.00959656999843	9.46269999117928e-05	0.00107972223632257
actin filament-based process	FOXJ1	ENSG00000129654.8	chr17	0.673203306393908	0.336810042789382	1.00959656999843	9.46269999117928e-05	0.00107972223632257
regulation of kinase activity	CCNP	ENSG00000105219.10	chr19	0.64716510120444	0.341991716018546	0.952338486390335	3.56877219799459e-05	0.000511271677617751
positive regulation of cytokine production	S100A9	ENSG00000163220.11	chr1	0.642154236355818	0.211652277559069	1.07265619515257	0.0035234981412707	0.016433335790083
Osteoclast differentiation	S100A9	ENSG00000163220.11	chr1	0.642154236355818	0.211652277559069	1.07265619515257	0.0035234981412707	0.016433335790083
inflammatory response	S100A9	ENSG00000163220.11	chr1	0.642154236355818	0.211652277559069	1.07265619515257	0.0035234981412707	0.016433335790083
cell activation	CD180	ENSG00000134061.5	chr5	0.638973626589695	0.365400904878583	0.912546348300806	5.4633783831373e-06	0.000119499571837672
positive regulation of cytokine production	CD180	ENSG00000134061.5	chr5	0.638973626589695	0.365400904878583	0.912546348300806	5.4633783831373e-06	0.000119499571837672
inflammatory response	CD180	ENSG00000134061.5	chr5	0.638973626589695	0.365400904878583	0.912546348300806	5.4633783831373e-06	0.000119499571837672
Hemostasis	HSD11B2	ENSG00000176387.7	chr16	0.635930304000073	0.359572659722608	0.912287948277538	7.46382386750441e-06	0.000151444082850951
Hemostasis	GIPR	ENSG00000010310.9	chr19	0.633980717116073	0.31800982009153	0.949951614140617	9.07737531504506e-05	0.00104248523964112
enzyme-linked receptor protein signaling pathway	SH2D6	ENSG00000152292.17	chr2	0.633606228682145	0.389595804065021	0.877616653299269	4.55561166077297e-07	1.76055150367147e-05
Hemostasis	SERPINA1	ENSG00000197249.14	chr14	0.625610446542681	0.30019903779489	0.951021855290473	0.000175282464942013	0.0017458084271577
inflammatory response	SERPINA1	ENSG00000197249.14	chr14	0.625610446542681	0.30019903779489	0.951021855290473	0.000175282464942013	0.0017458084271577
Osteoclast differentiation	MICB	ENSG00000204516.10	chr6	0.621969629553519	0.295229019982262	0.948710239124777	0.000202708258897779	0.00194523701599898
cell activation	MICB	ENSG00000204516.10	chr6	0.621969629553519	0.295229019982262	0.948710239124777	0.000202708258897779	0.00194523701599898
positive regulation of cytokine production	MICB	ENSG00000204516.10	chr6	0.621969629553519	0.295229019982262	0.948710239124777	0.000202708258897779	0.00194523701599898
positive regulation of immune response	MICB	ENSG00000204516.10	chr6	0.621969629553519	0.295229019982262	0.948710239124777	0.000202708258897779	0.00194523701599898
negative regulation of immune system process	MICB	ENSG00000204516.10	chr6	0.621969629553519	0.295229019982262	0.948710239124777	0.000202708258897779	0.00194523701599898
positive regulation of immune response	NFATC2	ENSG00000101096.20	chr20	0.62042469591721	0.478271313748267	0.762578078086153	8.44185550334999e-17	3.99102788680043e-13
regulation of cell activation	NFATC2	ENSG00000101096.20	chr20	0.62042469591721	0.478271313748267	0.762578078086153	8.44185550334999e-17	3.99102788680043e-13
Osteoclast differentiation	NFATC2	ENSG00000101096.20	chr20	0.62042469591721	0.478271313748267	0.762578078086153	8.44185550334999e-17	3.99102788680043e-13
VEGFA-VEGFR2 signaling	NFATC2	ENSG00000101096.20	chr20	0.62042469591721	0.478271313748267	0.762578078086153	8.44185550334999e-17	3.99102788680043e-13
Hemostasis	MAFF	ENSG00000185022.12	chr22	0.607926458333656	0.37529659114843	0.840556325518883	3.85877984418596e-07	1.55480325369572e-05
tube morphogenesis	MAFF	ENSG00000185022.12	chr22	0.607926458333656	0.37529659114843	0.840556325518883	3.85877984418596e-07	1.55480325369572e-05
actin filament-based process	SMTN	ENSG00000183963.19	chr22	0.606521137652231	0.399107851076308	0.813934424228153	1.47141681345805e-08	1.34036326159227e-06
enzyme-linked receptor protein signaling pathway	WFIKKN1	ENSG00000127578.7	chr16	0.605120403867187	0.346244687080667	0.863996120653706	5.37318829900958e-06	0.000118058932393355
regulation of MAPK cascade	ZC3H12A	ENSG00000163874.11	chr1	0.601702057219189	0.351206527576515	0.852197586861863	2.96675069025321e-06	7.55938482854892e-05
positive regulation of cell migration	ZC3H12A	ENSG00000163874.11	chr1	0.601702057219189	0.351206527576515	0.852197586861863	2.96675069025321e-06	7.55938482854892e-05
positive regulation of immune response	ZC3H12A	ENSG00000163874.11	chr1	0.601702057219189	0.351206527576515	0.852197586861863	2.96675069025321e-06	7.55938482854892e-05
negative regulation of immune system process	ZC3H12A	ENSG00000163874.11	chr1	0.601702057219189	0.351206527576515	0.852197586861863	2.96675069025321e-06	7.55938482854892e-05
regulation of cell activation	ZC3H12A	ENSG00000163874.11	chr1	0.601702057219189	0.351206527576515	0.852197586861863	2.96675069025321e-06	7.55938482854892e-05
regulation of tumor necrosis factor superfamily cytokine production	ZC3H12A	ENSG00000163874.11	chr1	0.601702057219189	0.351206527576515	0.852197586861863	2.96675069025321e-06	7.55938482854892e-05
positive regulation of cytokine production	ZC3H12A	ENSG00000163874.11	chr1	0.601702057219189	0.351206527576515	0.852197586861863	2.96675069025321e-06	7.55938482854892e-05
tube morphogenesis	ZC3H12A	ENSG00000163874.11	chr1	0.601702057219189	0.351206527576515	0.852197586861863	2.96675069025321e-06	7.55938482854892e-05
inflammatory response	ZC3H12A	ENSG00000163874.11	chr1	0.601702057219189	0.351206527576515	0.852197586861863	2.96675069025321e-06	7.55938482854892e-05
cellular response to cytokine stimulus	ZC3H12A	ENSG00000163874.11	chr1	0.601702057219189	0.351206527576515	0.852197586861863	2.96675069025321e-06	7.55938482854892e-05
cellular response to cytokine stimulus	CXCL1	ENSG00000163739.5	chr4	0.594262206596657	0.234668516195219	0.953855896998095	0.001236862410007	0.00746657757283137
actin filament-based process	CXCL1	ENSG00000163739.5	chr4	0.594262206596657	0.234668516195219	0.953855896998095	0.001236862410007	0.00746657757283137
inflammatory response	CXCL1	ENSG00000163739.5	chr4	0.594262206596657	0.234668516195219	0.953855896998095	0.001236862410007	0.00746657757283137
negative regulation of cell population proliferation	CXCL1	ENSG00000163739.5	chr4	0.594262206596657	0.234668516195219	0.953855896998095	0.001236862410007	0.00746657757283137
Malignant pleural mesothelioma	CXCL1	ENSG00000163739.5	chr4	0.594262206596657	0.234668516195219	0.953855896998095	0.001236862410007	0.00746657757283137
regulation of kinase activity	CHORDC1	ENSG00000110172.12	chr11	0.591881182472393	0.370036591226767	0.813725773718018	2.22131480038701e-07	1.03348875499867e-05
Osteoclast differentiation	SIGLEC9	ENSG00000129450.9	chr19	0.590415488615656	0.240390750896626	0.940440226334687	0.000979047804404791	0.00630314798450892
actin filament-based process	KCNE4	ENSG00000152049.6	chr2	0.587159845925562	0.312228025201901	0.862091666649224	3.14641415766869e-05	0.000464849916648073
tube morphogenesis	KLK14	ENSG00000129437.11	chr19	0.585605313555055	0.305940155416085	0.865270471694025	4.45667419880265e-05	0.000600275500110333
regulation of tumor necrosis factor superfamily cytokine production	IL1R2	ENSG00000115590.14	chr2	0.581213320380013	0.173717764786137	0.988708875973889	0.00525507001947011	0.0221625507243963
cellular response to cytokine stimulus	IL1R2	ENSG00000115590.14	chr2	0.581213320380013	0.173717764786137	0.988708875973889	0.00525507001947011	0.0221625507243963
cellular response to cytokine stimulus	EBI3	ENSG00000105246.6	chr19	0.580015189958516	0.311112046652332	0.8489183332647	2.62764817049146e-05	0.000409039564006355
cell activation	EBI3	ENSG00000105246.6	chr19	0.580015189958516	0.311112046652332	0.8489183332647	2.62764817049146e-05	0.000409039564006355
positive regulation of cytokine production	EBI3	ENSG00000105246.6	chr19	0.580015189958516	0.311112046652332	0.8489183332647	2.62764817049146e-05	0.000409039564006355
regulation of cell activation	EBI3	ENSG00000105246.6	chr19	0.580015189958516	0.311112046652332	0.8489183332647	2.62764817049146e-05	0.000409039564006355
enzyme-linked receptor protein signaling pathway	ANGPT2	ENSG00000091879.14	chr8	0.576679109709439	0.26440426569457	0.888953953724308	0.000311147928309404	0.00267293220303591
Malignant pleural mesothelioma	ANGPT2	ENSG00000091879.14	chr8	0.576679109709439	0.26440426569457	0.888953953724308	0.000311147928309404	0.00267293220303591
Hemostasis	ANGPT2	ENSG00000091879.14	chr8	0.576679109709439	0.26440426569457	0.888953953724308	0.000311147928309404	0.00267293220303591
positive regulation of cell migration	ANGPT2	ENSG00000091879.14	chr8	0.576679109709439	0.26440426569457	0.888953953724308	0.000311147928309404	0.00267293220303591
tube morphogenesis	ANGPT2	ENSG00000091879.14	chr8	0.576679109709439	0.26440426569457	0.888953953724308	0.000311147928309404	0.00267293220303591
negative regulation of immune system process	ANGPT2	ENSG00000091879.14	chr8	0.576679109709439	0.26440426569457	0.888953953724308	0.000311147928309404	0.00267293220303591
regulation of cell activation	ANGPT2	ENSG00000091879.14	chr8	0.576679109709439	0.26440426569457	0.888953953724308	0.000311147928309404	0.00267293220303591
positive regulation of cytokine production	GPR4	ENSG00000177464.5	chr19	0.574027789453171	0.322819979434134	0.825235599472209	8.61561709075898e-06	0.000169714559259009
Hemostasis	GPR4	ENSG00000177464.5	chr19	0.574027789453171	0.322819979434134	0.825235599472209	8.61561709075898e-06	0.000169714559259009
tube morphogenesis	GPR4	ENSG00000177464.5	chr19	0.574027789453171	0.322819979434134	0.825235599472209	8.61561709075898e-06	0.000169714559259009
negative regulation of cell population proliferation	AZGP1	ENSG00000160862.13	chr7	0.570717624741072	0.346856171359887	0.794579078122258	7.26025450968067e-07	2.54012772701865e-05
actin filament-based process	TRIP10	ENSG00000125733.18	chr19	0.567439056435393	0.400957527368441	0.733920585502345	4.94807222204366e-11	1.75446270813113e-08
cell activation	CLEC4E	ENSG00000166523.8	chr12	0.554128878473396	0.235089955635775	0.873167801311017	0.000690164826916553	0.00485546018857017
positive regulation of cytokine production	CLEC4E	ENSG00000166523.8	chr12	0.554128878473396	0.235089955635775	0.873167801311017	0.000690164826916553	0.00485546018857017
positive regulation of immune response	CLEC4E	ENSG00000166523.8	chr12	0.554128878473396	0.235089955635775	0.873167801311017	0.000690164826916553	0.00485546018857017
inflammatory response	CLEC4E	ENSG00000166523.8	chr12	0.554128878473396	0.235089955635775	0.873167801311017	0.000690164826916553	0.00485546018857017
positive regulation of cytokine production	TLR2	ENSG00000137462.9	chr4	0.541566503096619	0.302258429975588	0.780874576217651	1.04767912474666e-05	0.000197666093565739
cellular response to cytokine stimulus	TLR2	ENSG00000137462.9	chr4	0.541566503096619	0.302258429975588	0.780874576217651	1.04767912474666e-05	0.000197666093565739
inflammatory response	TLR2	ENSG00000137462.9	chr4	0.541566503096619	0.302258429975588	0.780874576217651	1.04767912474666e-05	0.000197666093565739
Malignant pleural mesothelioma	TLR2	ENSG00000137462.9	chr4	0.541566503096619	0.302258429975588	0.780874576217651	1.04767912474666e-05	0.000197666093565739
positive regulation of immune response	TLR2	ENSG00000137462.9	chr4	0.541566503096619	0.302258429975588	0.780874576217651	1.04767912474666e-05	0.000197666093565739
regulation of tumor necrosis factor superfamily cytokine production	TLR2	ENSG00000137462.9	chr4	0.541566503096619	0.302258429975588	0.780874576217651	1.04767912474666e-05	0.000197666093565739
negative regulation of cell population proliferation	TLR2	ENSG00000137462.9	chr4	0.541566503096619	0.302258429975588	0.780874576217651	1.04767912474666e-05	0.000197666093565739
Osteoclast differentiation	TLR2	ENSG00000137462.9	chr4	0.541566503096619	0.302258429975588	0.780874576217651	1.04767912474666e-05	0.000197666093565739
cell activation	TLR2	ENSG00000137462.9	chr4	0.541566503096619	0.302258429975588	0.780874576217651	1.04767912474666e-05	0.000197666093565739
cellular response to cytokine stimulus	CCR5	ENSG00000160791.13	chr3	0.539782695880578	0.162565377951916	0.917000013809239	0.00511001602464171	0.0216797359489959
inflammatory response	CCR5	ENSG00000160791.13	chr3	0.539782695880578	0.162565377951916	0.917000013809239	0.00511001602464171	0.0216797359489959
TYROBP causal network in microglia	ITGB2	ENSG00000160255.18	chr21	0.538006887563283	0.279411343940526	0.79660243118604	4.98031892971254e-05	0.000652224038597535
regulation of cell activation	ITGB2	ENSG00000160255.18	chr21	0.538006887563283	0.279411343940526	0.79660243118604	4.98031892971254e-05	0.000652224038597535
Osteoclast differentiation	ITGB2	ENSG00000160255.18	chr21	0.538006887563283	0.279411343940526	0.79660243118604	4.98031892971254e-05	0.000652224038597535
inflammatory response	ITGB2	ENSG00000160255.18	chr21	0.538006887563283	0.279411343940526	0.79660243118604	4.98031892971254e-05	0.000652224038597535
positive regulation of immune response	ITGB2	ENSG00000160255.18	chr21	0.538006887563283	0.279411343940526	0.79660243118604	4.98031892971254e-05	0.000652224038597535
Hemostasis	ITGB2	ENSG00000160255.18	chr21	0.538006887563283	0.279411343940526	0.79660243118604	4.98031892971254e-05	0.000652224038597535
cell activation	ITGB2	ENSG00000160255.18	chr21	0.538006887563283	0.279411343940526	0.79660243118604	4.98031892971254e-05	0.000652224038597535
tube morphogenesis	ITGB2	ENSG00000160255.18	chr21	0.538006887563283	0.279411343940526	0.79660243118604	4.98031892971254e-05	0.000652224038597535
Malignant pleural mesothelioma	ITGB2	ENSG00000160255.18	chr21	0.538006887563283	0.279411343940526	0.79660243118604	4.98031892971254e-05	0.000652224038597535
cellular response to cytokine stimulus	ITGB2	ENSG00000160255.18	chr21	0.538006887563283	0.279411343940526	0.79660243118604	4.98031892971254e-05	0.000652224038597535
positive regulation of immune response	HLA-DQB1	ENSG00000179344.16	chr6	0.535193622475855	0.147389717876179	0.922997527075531	0.00691252957567832	0.0272713232188722
cellular response to cytokine stimulus	HLA-DQB1	ENSG00000179344.16	chr6	0.535193622475855	0.147389717876179	0.922997527075531	0.00691252957567832	0.0272713232188722
regulation of cell activation	HLA-DQB1	ENSG00000179344.16	chr6	0.535193622475855	0.147389717876179	0.922997527075531	0.00691252957567832	0.0272713232188722
Osteoclast differentiation	HLA-DQB1	ENSG00000179344.16	chr6	0.535193622475855	0.147389717876179	0.922997527075531	0.00691252957567832	0.0272713232188722
cell activation	HLA-DQB1	ENSG00000179344.16	chr6	0.535193622475855	0.147389717876179	0.922997527075531	0.00691252957567832	0.0272713232188722
Hemostasis	SLC7A9	ENSG00000021488.13	chr19	0.533900819982718	0.213343607103364	0.854458032862072	0.00113261612668192	0.00699342382443609
regulation of MAPK cascade	FAM83D	ENSG00000101447.15	chr20	0.53170312539002	0.29212449190246	0.77128175887758	1.5374685207238e-05	0.000268545763909183
actin filament-based process	SERPINH1	ENSG00000149257.16	chr11	0.529425757129087	0.174023993343004	0.884827520915171	0.00356759803283799	0.0165681869350822
inflammatory response	FKBP4	ENSG00000004478.8	chr12	0.528501541581869	0.317555061814897	0.73944802134884	1.11403079182266e-06	3.4725931253672e-05
TYROBP causal network in microglia	CYTL1	ENSG00000170891.11	chr4	0.527929884534422	0.214242175779683	0.841617593289161	0.00100503460188786	0.00642959213287124
positive regulation of immune response	VSIG4	ENSG00000155659.15	chrX	0.527674149284291	0.21526844943059	0.840079849137992	0.000963735490391185	0.00623854881799095
regulation of tumor necrosis factor superfamily cytokine production	VSIG4	ENSG00000155659.15	chrX	0.527674149284291	0.21526844943059	0.840079849137992	0.000963735490391185	0.00623854881799095
positive regulation of cytokine production	VSIG4	ENSG00000155659.15	chrX	0.527674149284291	0.21526844943059	0.840079849137992	0.000963735490391185	0.00623854881799095
cell activation	VSIG4	ENSG00000155659.15	chrX	0.527674149284291	0.21526844943059	0.840079849137992	0.000963735490391185	0.00623854881799095
regulation of cell activation	VSIG4	ENSG00000155659.15	chrX	0.527674149284291	0.21526844943059	0.840079849137992	0.000963735490391185	0.00623854881799095
negative regulation of cell population proliferation	VSIG4	ENSG00000155659.15	chrX	0.527674149284291	0.21526844943059	0.840079849137992	0.000963735490391185	0.00623854881799095
negative regulation of immune system process	VSIG4	ENSG00000155659.15	chrX	0.527674149284291	0.21526844943059	0.840079849137992	0.000963735490391185	0.00623854881799095
tube morphogenesis	COL8A1	ENSG00000144810.16	chr3	0.520039448321175	0.154482006374041	0.88559689026831	0.0053734675493973	0.0225612463745121
regulation of cell activation	COL8A1	ENSG00000144810.16	chr3	0.520039448321175	0.154482006374041	0.88559689026831	0.0053734675493973	0.0225612463745121
positive regulation of cytokine production	CCL2	ENSG00000108691.9	chr17	0.515376104015239	0.150749721260432	0.880002486770046	0.00567584718090447	0.0235175403350184
Malignant pleural mesothelioma	CCL2	ENSG00000108691.9	chr17	0.515376104015239	0.150749721260432	0.880002486770046	0.00567584718090447	0.0235175403350184
enzyme-linked receptor protein signaling pathway	CCL2	ENSG00000108691.9	chr17	0.515376104015239	0.150749721260432	0.880002486770046	0.00567584718090447	0.0235175403350184
inflammatory response	CCL2	ENSG00000108691.9	chr17	0.515376104015239	0.150749721260432	0.880002486770046	0.00567584718090447	0.0235175403350184
cellular response to cytokine stimulus	CCL2	ENSG00000108691.9	chr17	0.515376104015239	0.150749721260432	0.880002486770046	0.00567584718090447	0.0235175403350184
tube morphogenesis	CCL2	ENSG00000108691.9	chr17	0.515376104015239	0.150749721260432	0.880002486770046	0.00567584718090447	0.0235175403350184
VEGFA-VEGFR2 signaling	CCL2	ENSG00000108691.9	chr17	0.515376104015239	0.150749721260432	0.880002486770046	0.00567584718090447	0.0235175403350184
negative regulation of immune system process	CCL2	ENSG00000108691.9	chr17	0.515376104015239	0.150749721260432	0.880002486770046	0.00567584718090447	0.0235175403350184
regulation of MAPK cascade	CCL2	ENSG00000108691.9	chr17	0.515376104015239	0.150749721260432	0.880002486770046	0.00567584718090447	0.0235175403350184
negative regulation of cell population proliferation	CCL2	ENSG00000108691.9	chr17	0.515376104015239	0.150749721260432	0.880002486770046	0.00567584718090447	0.0235175403350184
positive regulation of cell migration	CCL2	ENSG00000108691.9	chr17	0.515376104015239	0.150749721260432	0.880002486770046	0.00567584718090447	0.0235175403350184
regulation of cell activation	CCL2	ENSG00000108691.9	chr17	0.515376104015239	0.150749721260432	0.880002486770046	0.00567584718090447	0.0235175403350184
positive regulation of immune response	C1QA	ENSG00000173372.17	chr1	0.513589231808789	0.228202617945721	0.798975845671857	0.00044000008820331	0.0035000119186694
cell activation	C1QA	ENSG00000173372.17	chr1	0.513589231808789	0.228202617945721	0.798975845671857	0.00044000008820331	0.0035000119186694
inflammatory response	C1QA	ENSG00000173372.17	chr1	0.513589231808789	0.228202617945721	0.798975845671857	0.00044000008820331	0.0035000119186694
positive regulation of cytokine production	C1QA	ENSG00000173372.17	chr1	0.513589231808789	0.228202617945721	0.798975845671857	0.00044000008820331	0.0035000119186694
Malignant pleural mesothelioma	DKK2	ENSG00000155011.9	chr4	0.511647103887071	0.13802537276157	0.885268835012573	0.00735488419702809	0.0284685663229606
positive regulation of cytokine production	LILRA4	ENSG00000239961.3	chr19	0.509874265656401	0.166750749855478	0.852997781457324	0.00364979040656023	0.0168231970543529
negative regulation of immune system process	LILRA4	ENSG00000239961.3	chr19	0.509874265656401	0.166750749855478	0.852997781457324	0.00364979040656023	0.0168231970543529
positive regulation of immune response	LILRA4	ENSG00000239961.3	chr19	0.509874265656401	0.166750749855478	0.852997781457324	0.00364979040656023	0.0168231970543529
Osteoclast differentiation	LILRA4	ENSG00000239961.3	chr19	0.509874265656401	0.166750749855478	0.852997781457324	0.00364979040656023	0.0168231970543529
regulation of tumor necrosis factor superfamily cytokine production	LILRA4	ENSG00000239961.3	chr19	0.509874265656401	0.166750749855478	0.852997781457324	0.00364979040656023	0.0168231970543529
cellular response to cytokine stimulus	LILRA4	ENSG00000239961.3	chr19	0.509874265656401	0.166750749855478	0.852997781457324	0.00364979040656023	0.0168231970543529
Hemostasis	MMRN1	ENSG00000138722.10	chr4	0.508278355421047	0.113086600027365	0.903470110814728	0.0117947242740995	0.0408708952796368
negative regulation of immune system process	MMRN1	ENSG00000138722.10	chr4	0.508278355421047	0.113086600027365	0.903470110814728	0.0117947242740995	0.0408708952796368
regulation of cell activation	MMRN1	ENSG00000138722.10	chr4	0.508278355421047	0.113086600027365	0.903470110814728	0.0117947242740995	0.0408708952796368
