seqnames	start	end	width	strand	source	type	score	phase	gene_id	gene_type	gene_name	level	hgnc_id	havana_gene	transcript_id	transcript_type	transcript_name	transcript_support_level	tag	havana_transcript	exon_number	exon_id	ont	protein_id	ccdsid
chr1	1324756	1328896	4141	+	HAVANA	gene	NA	NA	ENSG00000224051.7	protein_coding	CPTP	2	HGNC:28116	OTTHUMG00000003171.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1335276	1349418	14143	-	HAVANA	gene	NA	NA	ENSG00000107404.20	protein_coding	DVL1	2	HGNC:3084	OTTHUMG00000003069.5	NA	NA	NA	NA	ncRNA_host	NA	NA	NA	NA	NA	NA
chr1	1352689	1361777	9089	-	HAVANA	gene	NA	NA	ENSG00000162576.17	protein_coding	MXRA8	2	HGNC:7542	OTTHUMG00000002973.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1373730	1375495	1766	-	HAVANA	gene	NA	NA	ENSG00000175756.13	protein_coding	AURKAIP1	2	HGNC:24114	OTTHUMG00000001413.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1385711	1399335	13625	-	HAVANA	gene	NA	NA	ENSG00000221978.12	protein_coding	CCNL2	2	HGNC:20570	OTTHUMG00000002917.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1399520	1402046	2527	+	HAVANA	gene	NA	NA	ENSG00000224870.7	lncRNA	MRPL20-AS1	2	HGNC:27125	OTTHUMG00000002908.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1401909	1407293	5385	-	HAVANA	gene	NA	NA	ENSG00000242485.6	protein_coding	MRPL20	1	HGNC:14478	OTTHUMG00000002916.4	NA	NA	NA	NA	ncRNA_host	NA	NA	NA	NA	NA	NA
chr1	1409096	1410618	1523	+	HAVANA	gene	NA	NA	ENSG00000272455.1	lncRNA	MRPL20-DT	2	HGNC:54814	OTTHUMG00000185586.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1418420	1421769	3350	-	HAVANA	gene	NA	NA	ENSG00000235098.9	protein_coding	ANKRD65	1	HGNC:42950	OTTHUMG00000002911.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1425871	1430255	4385	+	HAVANA	gene	NA	NA	ENSG00000205116.4	protein_coding	TMEM88B	2	HGNC:37099	OTTHUMG00000153395.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1434861	1442882	8022	+	HAVANA	gene	NA	NA	ENSG00000179403.12	protein_coding	VWA1	1	HGNC:30910	OTTHUMG00000002975.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1449689	1470163	20475	+	HAVANA	gene	NA	NA	ENSG00000215915.10	protein_coding	ATAD3C	2	HGNC:32151	OTTHUMG00000000531.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1471765	1497848	26084	+	HAVANA	gene	NA	NA	ENSG00000160072.20	protein_coding	ATAD3B	2	HGNC:24007	OTTHUMG00000000577.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1512162	1534685	22524	+	HAVANA	gene	NA	NA	ENSG00000197785.14	protein_coding	ATAD3A	2	HGNC:25567	OTTHUMG00000000575.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1534778	1540624	5847	-	HAVANA	gene	NA	NA	ENSG00000205090.9	protein_coding	TMEM240	2	HGNC:25186	OTTHUMG00000042193.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1541673	1574863	33191	-	HAVANA	gene	NA	NA	ENSG00000160075.12	protein_coding	SSU72	2	HGNC:25016	OTTHUMG00000000576.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1574102	1577075	2974	+	HAVANA	gene	NA	NA	ENSG00000215014.5	lncRNA	RP5-832C2.5	2	NA	OTTHUMG00000186983.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1598012	1600135	2124	-	HAVANA	gene	NA	NA	ENSG00000228594.4	protein_coding	FNDC10	2	HGNC:42951	OTTHUMG00000154864.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1600314	1602703	2390	+	HAVANA	gene	NA	NA	ENSG00000286989.1	lncRNA	RP11-345P4.12	2	NA	OTTHUMG00000195682.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1613758	1615795	2038	-	HAVANA	gene	NA	NA	ENSG00000272106.1	lncRNA	RP11-345P4.9	2	NA	OTTHUMG00000185588.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1615454	1630605	15152	+	HAVANA	gene	NA	NA	ENSG00000197530.13	protein_coding	MIB2	1	HGNC:30577	OTTHUMG00000074647.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1635225	1659012	23788	-	HAVANA	gene	NA	NA	ENSG00000248333.9	protein_coding	CDK11B	2	HGNC:1729	OTTHUMG00000078638.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1659529	1692795	33267	-	HAVANA	gene	NA	NA	ENSG00000189339.12	protein_coding	SLC35E2B	2	HGNC:33941	OTTHUMG00000078639.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1724512	1737251	12740	+	HAVANA	gene	NA	NA	ENSG00000227775.3	transcribed_processed_pseudogene	RP1-283E3.4	1	NA	OTTHUMG00000000825.3	NA	NA	NA	NA	pseudo_consens	NA	NA	NA	NA	NA	NA
chr1	1724838	1745992	21155	-	HAVANA	gene	NA	NA	ENSG00000215790.8	transcribed_unprocessed_pseudogene	SLC35E2A	2	HGNC:20863	OTTHUMG00000000823.6	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	1751232	1780457	29226	-	HAVANA	gene	NA	NA	ENSG00000008130.15	protein_coding	NADK	2	HGNC:29831	OTTHUMG00000000942.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1785285	1891117	105833	-	HAVANA	gene	NA	NA	ENSG00000078369.18	protein_coding	GNB1	1	HGNC:4396	OTTHUMG00000000940.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1921951	2003837	81887	-	HAVANA	gene	NA	NA	ENSG00000142609.19	protein_coding	CFAP74	1	HGNC:29368	OTTHUMG00000000945.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2013213	2015639	2427	-	HAVANA	gene	NA	NA	ENSG00000233542.2	lncRNA	RP11-547D24.1	2	NA	OTTHUMG00000041065.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2019329	2030758	11430	+	HAVANA	gene	NA	NA	ENSG00000187730.9	protein_coding	GABRD	2	HGNC:4084	OTTHUMG00000041064.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2050411	2185395	134985	+	HAVANA	gene	NA	NA	ENSG00000067606.17	protein_coding	PRKCZ	1	HGNC:9412	OTTHUMG00000001238.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2181794	2184389	2596	-	HAVANA	gene	NA	NA	ENSG00000182873.5	lncRNA	PRKCZ-AS1	1	HGNC:40477	OTTHUMG00000001239.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2184461	2212720	28260	-	HAVANA	gene	NA	NA	ENSG00000162585.17	protein_coding	FAAP20	2	HGNC:26428	OTTHUMG00000001404.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2228319	2310213	81895	+	HAVANA	gene	NA	NA	ENSG00000157933.10	protein_coding	SKI	2	HGNC:10896	OTTHUMG00000001407.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2321253	2391707	70455	-	HAVANA	gene	NA	NA	ENSG00000116151.14	protein_coding	MORN1	1	HGNC:25852	OTTHUMG00000001402.7	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	2350414	2352820	2407	-	HAVANA	gene	NA	NA	ENSG00000269896.2	transcribed_processed_pseudogene	RP4-740C4.5	1	NA	OTTHUMG00000057495.3	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	2363061	2363628	568	-	HAVANA	gene	NA	NA	ENSG00000272420.1	lncRNA	RP4-740C4.7	2	NA	OTTHUMG00000185694.1	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	2391775	2405442	13668	+	HAVANA	gene	NA	NA	ENSG00000157916.20	protein_coding	RER1	2	HGNC:30309	OTTHUMG00000001403.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2403964	2413797	9834	-	HAVANA	gene	NA	NA	ENSG00000157911.11	protein_coding	PEX10	1	HGNC:8851	OTTHUMG00000001637.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2425980	2505532	79553	+	HAVANA	gene	NA	NA	ENSG00000149527.18	protein_coding	PLCH2	2	HGNC:29037	OTTHUMG00000000719.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2508537	2526597	18061	-	HAVANA	gene	NA	NA	ENSG00000157881.16	protein_coding	PANK4	2	HGNC:19366	OTTHUMG00000000791.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2528745	2530263	1519	-	HAVANA	gene	NA	NA	ENSG00000197921.6	protein_coding	HES5	2	HGNC:19764	OTTHUMG00000000793.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2555639	2565382	9744	+	HAVANA	gene	NA	NA	ENSG00000157873.18	protein_coding	TNFRSF14	2	HGNC:11912	OTTHUMG00000000792.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2586491	2591469	4979	+	HAVANA	gene	NA	NA	ENSG00000157870.17	protein_coding	PRXL2B	2	HGNC:28390	OTTHUMG00000000847.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	2635976	2801717	165742	-	HAVANA	gene	NA	NA	ENSG00000215912.12	protein_coding	TTC34	2	HGNC:34297	OTTHUMG00000000539.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	3059615	3068437	8823	-	HAVANA	gene	NA	NA	ENSG00000177133.12	lncRNA	PRDM16-DT	2	HGNC:48664	OTTHUMG00000000563.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	3069168	3438621	369454	+	HAVANA	gene	NA	NA	ENSG00000142611.17	protein_coding	PRDM16	1	HGNC:14000	OTTHUMG00000000581.10	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	3454665	3481113	26449	+	HAVANA	gene	NA	NA	ENSG00000130762.15	protein_coding	ARHGEF16	2	HGNC:15515	OTTHUMG00000000625.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	3487951	3611508	123558	-	HAVANA	gene	NA	NA	ENSG00000162591.16	protein_coding	MEGF6	2	HGNC:3232	OTTHUMG00000000611.8	NA	NA	NA	NA	ncRNA_host	NA	NA	NA	NA	NA	NA
chr1	3623190	3624743	1554	-	HAVANA	gene	NA	NA	ENSG00000238260.1	lncRNA	RP11-46F15.2	2	NA	OTTHUMG00000000613.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	3625015	3630127	5113	+	HAVANA	gene	NA	NA	ENSG00000158109.15	protein_coding	TPRG1L	2	HGNC:27007	OTTHUMG00000000609.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	3630767	3652761	21995	-	HAVANA	gene	NA	NA	ENSG00000116213.16	protein_coding	WRAP73	1	HGNC:12759	OTTHUMG00000000612.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	3735511	3747373	11863	-	HAVANA	gene	NA	NA	ENSG00000227372.12	transcribed_unitary_pseudogene	TP73-AS1	2	HGNC:29052	OTTHUMG00000003414.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	3778559	3796498	17940	-	HAVANA	gene	NA	NA	ENSG00000130764.10	protein_coding	LRRC47	2	HGNC:29207	OTTHUMG00000003506.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	3812086	3857396	45311	-	HAVANA	gene	NA	NA	ENSG00000116198.14	protein_coding	CEP104	2	HGNC:24866	OTTHUMG00000003507.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	3857267	3885429	28163	+	HAVANA	gene	NA	NA	ENSG00000169598.17	protein_coding	DFFB	2	HGNC:2773	OTTHUMG00000003525.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	3889125	3900293	11169	-	HAVANA	gene	NA	NA	ENSG00000198912.12	protein_coding	C1orf174	2	HGNC:27915	OTTHUMG00000003739.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	3940486	3955262	14777	+	HAVANA	gene	NA	NA	ENSG00000233304.7	lncRNA	LINC01346	2	HGNC:50563	OTTHUMG00000000499.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	4012921	4019508	6588	-	HAVANA	gene	NA	NA	ENSG00000284703.1	lncRNA	RP11-718D19.2	2	NA	OTTHUMG00000192282.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	4654609	4792534	137926	+	HAVANA	gene	NA	NA	ENSG00000196581.11	protein_coding	AJAP1	2	HGNC:30801	OTTHUMG00000000645.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	5862811	5992473	129663	-	HAVANA	gene	NA	NA	ENSG00000131697.18	protein_coding	NPHP4	2	HGNC:19104	OTTHUMG00000000701.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	5990927	6101193	110267	+	HAVANA	gene	NA	NA	ENSG00000069424.15	protein_coding	KCNAB2	2	HGNC:6229	OTTHUMG00000000795.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6101787	6180321	78535	-	HAVANA	gene	NA	NA	ENSG00000116254.18	protein_coding	CHD5	2	HGNC:16816	OTTHUMG00000000952.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6185020	6209389	24370	-	HAVANA	gene	NA	NA	ENSG00000116251.11	protein_coding	RPL22	1	HGNC:10315	OTTHUMG00000193375.2	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	6205475	6221299	15825	+	HAVANA	gene	NA	NA	ENSG00000158286.13	protein_coding	RNF207	2	HGNC:32947	OTTHUMG00000001089.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6221193	6235972	14780	-	HAVANA	gene	NA	NA	ENSG00000116237.16	protein_coding	ICMT	2	HGNC:5350	OTTHUMG00000001254.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6247353	6261098	13746	-	HAVANA	gene	NA	NA	ENSG00000158292.7	protein_coding	GPR153	2	HGNC:23618	OTTHUMG00000001272.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6264269	6393767	129499	-	HAVANA	gene	NA	NA	ENSG00000097021.20	protein_coding	ACOT7	2	HGNC:24157	OTTHUMG00000001295.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6460786	6466175	5390	-	HAVANA	gene	NA	NA	ENSG00000215788.11	protein_coding	TNFRSF25	2	HGNC:11910	OTTHUMG00000000831.9	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	6467122	6520074	52953	-	HAVANA	gene	NA	NA	ENSG00000171680.23	protein_coding	PLEKHG5	2	HGNC:29105	OTTHUMG00000000905.5	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	6521347	6554513	33167	-	HAVANA	gene	NA	NA	ENSG00000162408.11	protein_coding	NOL9	2	HGNC:26265	OTTHUMG00000000904.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6579994	6589280	9287	+	HAVANA	gene	NA	NA	ENSG00000204859.13	protein_coding	ZBTB48	2	HGNC:4930	OTTHUMG00000001438.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6590724	6614607	23884	-	HAVANA	gene	NA	NA	ENSG00000162413.16	protein_coding	KLHL21	1	HGNC:29041	OTTHUMG00000001437.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6613731	6624030	10300	+	HAVANA	gene	NA	NA	ENSG00000116273.6	protein_coding	PHF13	2	HGNC:22983	OTTHUMG00000001439.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6624866	6635586	10721	+	HAVANA	gene	NA	NA	ENSG00000041988.15	protein_coding	THAP3	2	HGNC:20855	OTTHUMG00000001440.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6634168	6701924	67757	-	HAVANA	gene	NA	NA	ENSG00000007923.16	protein_coding	DNAJC11	2	HGNC:25570	OTTHUMG00000001443.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	6785454	7769706	984253	+	HAVANA	gene	NA	NA	ENSG00000171735.19	protein_coding	CAMTA1	1	HGNC:18806	OTTHUMG00000001212.7	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	7693124	7694844	1721	-	HAVANA	gene	NA	NA	ENSG00000270171.1	lncRNA	RP11-338N10.1	2	NA	OTTHUMG00000183917.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	7771296	7781432	10137	+	HAVANA	gene	NA	NA	ENSG00000049245.13	protein_coding	VAMP3	1	HGNC:12644	OTTHUMG00000001225.4	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	7776383	7776775	393	+	HAVANA	gene	NA	NA	ENSG00000269925.1	lncRNA	RP3-467L1.6	2	NA	OTTHUMG00000183953.1	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	7784291	7845177	60887	+	HAVANA	gene	NA	NA	ENSG00000049246.15	protein_coding	PER3	1	HGNC:8847	OTTHUMG00000001216.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	7954291	7985505	31215	+	HAVANA	gene	NA	NA	ENSG00000116288.13	protein_coding	PARK7	1	HGNC:16369	OTTHUMG00000001210.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	8004404	8026309	21906	-	HAVANA	gene	NA	NA	ENSG00000116285.13	protein_coding	ERRFI1	1	HGNC:18185	OTTHUMG00000001221.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	8318114	8344167	26054	+	HAVANA	gene	NA	NA	ENSG00000162426.16	protein_coding	SLC45A1	2	HGNC:17939	OTTHUMG00000000503.6	NA	NA	NA	NA	ncRNA_host	NA	NA	NA	NA	NA	NA
chr1	8352397	8848921	496525	-	HAVANA	gene	NA	NA	ENSG00000142599.19	protein_coding	RERE	1	HGNC:9965	OTTHUMG00000001765.9	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	8861000	8879190	18191	-	HAVANA	gene	NA	NA	ENSG00000074800.16	protein_coding	ENO1	2	HGNC:3350	OTTHUMG00000001773.11	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	9035106	9088478	53373	-	HAVANA	gene	NA	NA	ENSG00000142583.18	protein_coding	SLC2A5	2	HGNC:11010	OTTHUMG00000001771.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	9100305	9129102	28798	-	HAVANA	gene	NA	NA	ENSG00000180758.12	protein_coding	GPR157	2	HGNC:23687	OTTHUMG00000001758.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	9148011	9198906	50896	-	HAVANA	gene	NA	NA	ENSG00000228526.7	lncRNA	MIR34AHG	2	HGNC:51913	OTTHUMG00000001762.6	NA	NA	NA	NA	ncRNA_host	NA	NA	NA	NA	NA	NA
chr1	9234774	9271337	36564	+	HAVANA	gene	NA	NA	ENSG00000049239.13	protein_coding	H6PD	1	HGNC:4795	OTTHUMG00000001768.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	9292894	9369532	76639	+	HAVANA	gene	NA	NA	ENSG00000171621.14	protein_coding	SPSB1	2	HGNC:30628	OTTHUMG00000001279.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	9425094	9440564	15471	-	HAVANA	gene	NA	NA	ENSG00000284693.1	lncRNA	LINC02606	2	HGNC:54047	OTTHUMG00000192293.1	NA	NA	NA	NA	ncRNA_host	NA	NA	NA	NA	NA	NA
chr1	9539465	9585173	45709	+	HAVANA	gene	NA	NA	ENSG00000171612.7	protein_coding	SLC25A33	2	HGNC:29681	OTTHUMG00000001322.3	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	9588911	9614877	25967	+	HAVANA	gene	NA	NA	ENSG00000188807.13	protein_coding	TMEM201	2	HGNC:33719	OTTHUMG00000057457.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
