variable	gene	gene_id	seqnames	logFC	CI.L	CI.R	P.Value	adj.P.Val
carboxylic acid transport	RBP1	ENSG00000114115.10	chr3	-0.56346669717372	-0.703172381383987	-0.423761012963452	1.12610480302104e-14	2.66192407020789e-11
carboxylic acid transport	SLC1A2	ENSG00000110436.13	chr11	-0.549394303289294	-0.73783408140037	-0.360954525178217	1.61951083332223e-08	1.38841779332535e-06
Biological oxidations	SLC1A2	ENSG00000110436.13	chr11	-0.549394303289294	-0.73783408140037	-0.360954525178217	1.61951083332223e-08	1.38841779332535e-06
acyl-CoA metabolic process	SLC1A2	ENSG00000110436.13	chr11	-0.549394303289294	-0.73783408140037	-0.360954525178217	1.61951083332223e-08	1.38841779332535e-06
estrous cycle	TSPAN8	ENSG00000127324.9	chr12	-0.548911947308676	-0.866974268843124	-0.230849625774228	0.000746159434978008	0.00513976652078343
NABA MATRISOME ASSOCIATED	S100A14	ENSG00000189334.9	chr1	-0.545609269910888	-0.822903717774657	-0.268314822047118	0.000123446267482251	0.00132840547170013
estrous cycle	IL33	ENSG00000137033.12	chr9	-0.529622281467605	-0.759383401915876	-0.299861161019335	7.20139920096441e-06	0.000148414495886347
estrous cycle	CA12	ENSG00000074410.14	chr15	-0.522031084496642	-0.795722957047229	-0.248339211946055	0.000196892735703966	0.00190216745644426
steroid hormone biosynthetic process	ADCYAP1	ENSG00000141433.13	chr18	-0.516825905327104	-0.754367103399396	-0.279284707254812	2.23938109034369e-05	0.000358882960501069
response to toxic substance	SCN11A	ENSG00000168356.13	chr3	-0.51639044650696	-0.781349455814454	-0.251431437199467	0.000142851677355535	0.00148538514657886
estrous cycle	SCN11A	ENSG00000168356.13	chr3	-0.51639044650696	-0.781349455814454	-0.251431437199467	0.000142851677355535	0.00148538514657886
steroid hormone biosynthetic process	INHA	ENSG00000123999.5	chr2	-0.514434905119761	-0.806402780967289	-0.222467029272233	0.000577424172674311	0.00426494518456879
NABA MATRISOME ASSOCIATED	INHA	ENSG00000123999.5	chr2	-0.514434905119761	-0.806402780967289	-0.222467029272233	0.000577424172674311	0.00426494518456879
NABA MATRISOME ASSOCIATED	FREM2	ENSG00000150893.11	chr13	-0.510402251109741	-0.788730848310314	-0.232073653909168	0.000342374361379616	0.00287501217729254
acyl-CoA metabolic process	PLIN1	ENSG00000166819.12	chr15	-0.504506802122741	-0.704022625180806	-0.304990979064676	8.8914812469245e-07	2.9440326886385e-05
monocarboxylic acid catabolic process	PLIN1	ENSG00000166819.12	chr15	-0.504506802122741	-0.704022625180806	-0.304990979064676	8.8914812469245e-07	2.9440326886385e-05
monocarboxylic acid metabolic process	PLIN1	ENSG00000166819.12	chr15	-0.504506802122741	-0.704022625180806	-0.304990979064676	8.8914812469245e-07	2.9440326886385e-05
steroid hormone biosynthetic process	VGF	ENSG00000128564.7	chr7	-0.502381781029946	-0.731509114117237	-0.273254447942655	1.93780123293195e-05	0.000322202050254089
microtubule-based movement	PLK4	ENSG00000142731.11	chr4	-0.500747652719158	-0.800767301593245	-0.200728003845072	0.00110578984508108	0.00687606211938296
acyl-CoA metabolic process	CARNS1	ENSG00000172508.10	chr11	-0.497821267567156	-0.775130593234512	-0.2205119418998	0.000454465788264955	0.0035769635266159
monocarboxylic acid metabolic process	CARNS1	ENSG00000172508.10	chr11	-0.497821267567156	-0.775130593234512	-0.2205119418998	0.000454465788264955	0.0035769635266159
organic acid catabolic process	CARNS1	ENSG00000172508.10	chr11	-0.497821267567156	-0.775130593234512	-0.2205119418998	0.000454465788264955	0.0035769635266159
Valine, leucine and isoleucine degradation	CARNS1	ENSG00000172508.10	chr11	-0.497821267567156	-0.775130593234512	-0.2205119418998	0.000454465788264955	0.0035769635266159
estrous cycle	OPALIN	ENSG00000197430.11	chr10	-0.497253603697661	-0.766636817158558	-0.227870390236765	0.000313039708093141	0.00268357565615418
carboxylic acid transport	SLC16A6	ENSG00000108932.12	chr17	-0.496964028618619	-0.760013938584486	-0.233914118652752	0.00022604283320162	0.00211574563813782
monocarboxylic acid catabolic process	GPCPD1	ENSG00000125772.14	chr20	-0.494478218886164	-0.646671433198322	-0.342285004574007	3.49478746687655e-10	8.26109510711834e-08
monocarboxylic acid metabolic process	GPCPD1	ENSG00000125772.14	chr20	-0.494478218886164	-0.646671433198322	-0.342285004574007	3.49478746687655e-10	8.26109510711834e-08
estrous cycle	KRT5	ENSG00000186081.12	chr12	-0.477605489924512	-0.794107950528239	-0.161103029320785	0.00316049897524482	0.0151232648332987
alcohol metabolic process	LRAT	ENSG00000121207.12	chr4	-0.471409408865596	-0.648362918051014	-0.294455899680177	2.31280496379174e-07	1.065016649398e-05
steroid hormone biosynthetic process	LRAT	ENSG00000121207.12	chr4	-0.471409408865596	-0.648362918051014	-0.294455899680177	2.31280496379174e-07	1.065016649398e-05
Valine, leucine and isoleucine degradation	HKDC1	ENSG00000156510.13	chr10	-0.468598328534461	-0.710831985857788	-0.226364671211135	0.000159816428554007	0.0016213708198723
monocarboxylic acid metabolic process	HKDC1	ENSG00000156510.13	chr10	-0.468598328534461	-0.710831985857788	-0.226364671211135	0.000159816428554007	0.0016213708198723
Carbon metabolism	HKDC1	ENSG00000156510.13	chr10	-0.468598328534461	-0.710831985857788	-0.226364671211135	0.000159816428554007	0.0016213708198723
cellular modified amino acid metabolic process	FOLH1	ENSG00000086205.18	chr11	-0.468352902544567	-0.715256055571476	-0.221449749517657	0.000213245262988345	0.00201765014340473
organic acid catabolic process	FOLH1	ENSG00000086205.18	chr11	-0.468352902544567	-0.715256055571476	-0.221449749517657	0.000213245262988345	0.00201765014340473
Trans-sulfuration, one-carbon metabolism and related pathways	FOLH1	ENSG00000086205.18	chr11	-0.468352902544567	-0.715256055571476	-0.221449749517657	0.000213245262988345	0.00201765014340473
organic acid catabolic process	ENOSF1	ENSG00000132199.20	chr18	-0.463142244751646	-0.659624413102808	-0.266660076400484	4.48998047978379e-06	0.000104224866030726
Carbon metabolism	ENOSF1	ENSG00000132199.20	chr18	-0.463142244751646	-0.659624413102808	-0.266660076400484	4.48998047978379e-06	0.000104224866030726
Carbon metabolism	GPD1	ENSG00000167588.13	chr12	-0.462664623486727	-0.651547505635444	-0.273781741338011	1.90078036506757e-06	5.32781974659156e-05
acyl-CoA metabolic process	GPD1	ENSG00000167588.13	chr12	-0.462664623486727	-0.651547505635444	-0.273781741338011	1.90078036506757e-06	5.32781974659156e-05
monocarboxylic acid metabolic process	GPD1	ENSG00000167588.13	chr12	-0.462664623486727	-0.651547505635444	-0.273781741338011	1.90078036506757e-06	5.32781974659156e-05
alcohol metabolic process	GPD1	ENSG00000167588.13	chr12	-0.462664623486727	-0.651547505635444	-0.273781741338011	1.90078036506757e-06	5.32781974659156e-05
NABA MATRISOME ASSOCIATED	CBLN3	ENSG00000139899.11	chr14	-0.462009505222866	-0.63147095400772	-0.292548056438012	1.21966043019622e-07	6.8962167030458e-06
acyl-CoA metabolic process	MDH1B	ENSG00000138400.13	chr2	-0.461562869395772	-0.659339704475675	-0.263786034315869	5.55884211116055e-06	0.00012092186758066
cellular modified amino acid metabolic process	MDH1B	ENSG00000138400.13	chr2	-0.461562869395772	-0.659339704475675	-0.263786034315869	5.55884211116055e-06	0.00012092186758066
monocarboxylic acid metabolic process	CYP4F11	ENSG00000171903.17	chr19	-0.455421684308948	-0.751475074542574	-0.159368294075321	0.0026248108797212	0.0131444278023675
Biological oxidations	CYP4F11	ENSG00000171903.17	chr19	-0.455421684308948	-0.751475074542574	-0.159368294075321	0.0026248108797212	0.0131444278023675
organic acid catabolic process	CYP4F11	ENSG00000171903.17	chr19	-0.455421684308948	-0.751475074542574	-0.159368294075321	0.0026248108797212	0.0131444278023675
acyl-CoA metabolic process	CYP4F11	ENSG00000171903.17	chr19	-0.455421684308948	-0.751475074542574	-0.159368294075321	0.0026248108797212	0.0131444278023675
organic acid catabolic process	PON1	ENSG00000005421.9	chr7	-0.451680951136637	-0.70496838668839	-0.198393515584884	0.000495391226461735	0.0037999641778836
monocarboxylic acid metabolic process	PON1	ENSG00000005421.9	chr7	-0.451680951136637	-0.70496838668839	-0.198393515584884	0.000495391226461735	0.0037999641778836
alcohol metabolic process	PON1	ENSG00000005421.9	chr7	-0.451680951136637	-0.70496838668839	-0.198393515584884	0.000495391226461735	0.0037999641778836
response to toxic substance	PON1	ENSG00000005421.9	chr7	-0.451680951136637	-0.70496838668839	-0.198393515584884	0.000495391226461735	0.0037999641778836
steroid hormone biosynthetic process	PON1	ENSG00000005421.9	chr7	-0.451680951136637	-0.70496838668839	-0.198393515584884	0.000495391226461735	0.0037999641778836
acyl-CoA metabolic process	FADS1	ENSG00000149485.19	chr11	-0.451372951456048	-0.59284432305865	-0.309901579853446	7.01921346526531e-10	1.3203842621306e-07
monocarboxylic acid metabolic process	FADS1	ENSG00000149485.19	chr11	-0.451372951456048	-0.59284432305865	-0.309901579853446	7.01921346526531e-10	1.3203842621306e-07
steroid hormone biosynthetic process	FADS1	ENSG00000149485.19	chr11	-0.451372951456048	-0.59284432305865	-0.309901579853446	7.01921346526531e-10	1.3203842621306e-07
tyrosine metabolic process	DCT	ENSG00000080166.16	chr13	-0.44843337211249	-0.665223451938665	-0.231643292286314	5.49520840363599e-05	0.000705326160984337
organic acid catabolic process	DCT	ENSG00000080166.16	chr13	-0.44843337211249	-0.665223451938665	-0.231643292286314	5.49520840363599e-05	0.000705326160984337
alcohol metabolic process	DCT	ENSG00000080166.16	chr13	-0.44843337211249	-0.665223451938665	-0.231643292286314	5.49520840363599e-05	0.000705326160984337
Biological oxidations	GSTM5	ENSG00000134201.12	chr1	-0.434879899446587	-0.720463404328265	-0.149296394564909	0.00289757977143289	0.0141711634131837
carboxylic acid transport	NTRK2	ENSG00000148053.17	chr9	-0.425602898021701	-0.570213345952294	-0.280992450091108	1.19464724845278e-08	1.17664457811151e-06
NABA MATRISOME ASSOCIATED	CST3	ENSG00000101439.9	chr20	-0.422337754998408	-0.584964754699978	-0.259710755296837	4.54043285628543e-07	1.75947975958187e-05
organic acid catabolic process	DIO2	ENSG00000211448.13	chr14	-0.421498500212646	-0.61432735068346	-0.228669649741832	2.05305289718955e-05	0.000335079968249015
steroid hormone biosynthetic process	DIO2	ENSG00000211448.13	chr14	-0.421498500212646	-0.61432735068346	-0.228669649741832	2.05305289718955e-05	0.000335079968249015
cellular modified amino acid metabolic process	DIO2	ENSG00000211448.13	chr14	-0.421498500212646	-0.61432735068346	-0.228669649741832	2.05305289718955e-05	0.000335079968249015
alcohol metabolic process	DIO2	ENSG00000211448.13	chr14	-0.421498500212646	-0.61432735068346	-0.228669649741832	2.05305289718955e-05	0.000335079968249015
acyl-CoA metabolic process	DIO2	ENSG00000211448.13	chr14	-0.421498500212646	-0.61432735068346	-0.228669649741832	2.05305289718955e-05	0.000335079968249015
response to toxic substance	DIO2	ENSG00000211448.13	chr14	-0.421498500212646	-0.61432735068346	-0.228669649741832	2.05305289718955e-05	0.000335079968249015
response to toxic substance	APOM	ENSG00000204444.11	chr6	-0.420535599844688	-0.600751364788658	-0.240319834900718	5.57118525048483e-06	0.000121004778572169
steroid hormone biosynthetic process	GLUD1	ENSG00000148672.10	chr10	-0.416975876283249	-0.522439243621699	-0.3115125089448	3.48345225589621e-14	5.35119940139333e-11
cellular modified amino acid metabolic process	GLUD1	ENSG00000148672.10	chr10	-0.416975876283249	-0.522439243621699	-0.3115125089448	3.48345225589621e-14	5.35119940139333e-11
organic acid catabolic process	GLUD1	ENSG00000148672.10	chr10	-0.416975876283249	-0.522439243621699	-0.3115125089448	3.48345225589621e-14	5.35119940139333e-11
monocarboxylic acid metabolic process	GLUD1	ENSG00000148672.10	chr10	-0.416975876283249	-0.522439243621699	-0.3115125089448	3.48345225589621e-14	5.35119940139333e-11
Carbon metabolism	GLUD1	ENSG00000148672.10	chr10	-0.416975876283249	-0.522439243621699	-0.3115125089448	3.48345225589621e-14	5.35119940139333e-11
Cysteine and methionine metabolism	GLUD1	ENSG00000148672.10	chr10	-0.416975876283249	-0.522439243621699	-0.3115125089448	3.48345225589621e-14	5.35119940139333e-11
acyl-CoA metabolic process	GLUD1	ENSG00000148672.10	chr10	-0.416975876283249	-0.522439243621699	-0.3115125089448	3.48345225589621e-14	5.35119940139333e-11
microtubule-based movement	TCTE1	ENSG00000146221.10	chr6	-0.415021340225645	-0.646662524730474	-0.183380155720815	0.000466227843149087	0.00363324697768324
NABA MATRISOME ASSOCIATED	CLEC3B	ENSG00000163815.6	chr3	-0.414749996988909	-0.690593434587149	-0.138906559390669	0.00327033353677077	0.0154929030680267
monocarboxylic acid catabolic process	IDNK	ENSG00000148057.16	chr9	-0.413756929714612	-0.533742757152232	-0.293771102276993	2.99447851953782e-11	1.14785645520554e-08
Carbon metabolism	IDNK	ENSG00000148057.16	chr9	-0.413756929714612	-0.533742757152232	-0.293771102276993	2.99447851953782e-11	1.14785645520554e-08
organic acid catabolic process	IDNK	ENSG00000148057.16	chr9	-0.413756929714612	-0.533742757152232	-0.293771102276993	2.99447851953782e-11	1.14785645520554e-08
monocarboxylic acid metabolic process	IDNK	ENSG00000148057.16	chr9	-0.413756929714612	-0.533742757152232	-0.293771102276993	2.99447851953782e-11	1.14785645520554e-08
estrous cycle	MYOZ1	ENSG00000177791.12	chr10	-0.412890883177314	-0.594148224907194	-0.231633541447434	9.18160989184262e-06	0.000176355739150997
NABA MATRISOME ASSOCIATED	SEMA3G	ENSG00000010319.7	chr3	-0.410392940411148	-0.673055151845275	-0.147730728977021	0.00224762046200586	0.0116642505276516
carboxylic acid transport	PMP2	ENSG00000147588.7	chr8	-0.409616072828554	-0.562145848826369	-0.257086296830738	1.85818694175321e-07	9.13449752133272e-06
microtubule-based movement	ODAD2	ENSG00000169126.16	chr10	-0.405141614145589	-0.631558127819063	-0.178725100472116	0.000474038273373974	0.00367898978238112
NABA MATRISOME ASSOCIATED	CHRDL1	ENSG00000101938.15	chrX	-0.405096576017061	-0.57652803932177	-0.233665112712352	4.25542961684475e-06	9.95953106529853e-05
carboxylic acid transport	SPX	ENSG00000134548.11	chr12	-0.40379303311839	-0.566348067482092	-0.241237998754688	1.36777056353001e-06	4.15398070718333e-05
monocarboxylic acid metabolic process	ACSM5	ENSG00000183549.10	chr16	-0.401034072470676	-0.642996295437577	-0.159071849503776	0.00119696713488346	0.00729234745448974
acyl-CoA metabolic process	ACSM5	ENSG00000183549.10	chr16	-0.401034072470676	-0.642996295437577	-0.159071849503776	0.00119696713488346	0.00729234745448974
Biological oxidations	ACSM5	ENSG00000183549.10	chr16	-0.401034072470676	-0.642996295437577	-0.159071849503776	0.00119696713488346	0.00729234745448974
steroid hormone biosynthetic process	ACSM5	ENSG00000183549.10	chr16	-0.401034072470676	-0.642996295437577	-0.159071849503776	0.00119696713488346	0.00729234745448974
NABA MATRISOME ASSOCIATED	WIF1	ENSG00000156076.10	chr12	-0.400872341991639	-0.661248962777294	-0.140495721205984	0.00260347193752791	0.0130661863021792
cellular modified amino acid metabolic process	PCYOX1L	ENSG00000145882.11	chr5	-0.396754725651859	-0.582009834111967	-0.211499617191751	2.99098762333435e-05	0.000445600603589823
carboxylic acid transport	SLCO1C1	ENSG00000139155.9	chr12	-0.391863556042482	-0.600911760910518	-0.182815351174446	0.000252660621594218	0.0022885409402671
steroid hormone biosynthetic process	SLCO1C1	ENSG00000139155.9	chr12	-0.391863556042482	-0.600911760910518	-0.182815351174446	0.000252660621594218	0.0022885409402671
NABA MATRISOME ASSOCIATED	SDC4	ENSG00000124145.6	chr20	-0.386162717822812	-0.55430021900536	-0.218025216640263	7.76452517449298e-06	0.000156426506462832
organic acid catabolic process	RIDA	ENSG00000132541.11	chr8	-0.385899059661371	-0.509148373961031	-0.262649745361711	1.41232225000125e-09	2.22566294130753e-07
Cysteine and methionine metabolism	RIDA	ENSG00000132541.11	chr8	-0.385899059661371	-0.509148373961031	-0.262649745361711	1.41232225000125e-09	2.22566294130753e-07
Valine, leucine and isoleucine degradation	ALDH7A1	ENSG00000164904.18	chr5	-0.381480614404699	-0.512207474970124	-0.250753753839275	1.5728874152207e-08	1.37705322284415e-06
Glycine, serine and threonine metabolism	ALDH7A1	ENSG00000164904.18	chr5	-0.381480614404699	-0.512207474970124	-0.250753753839275	1.5728874152207e-08	1.37705322284415e-06
organic acid catabolic process	ALDH7A1	ENSG00000164904.18	chr5	-0.381480614404699	-0.512207474970124	-0.250753753839275	1.5728874152207e-08	1.37705322284415e-06
cellular modified amino acid metabolic process	ALDH7A1	ENSG00000164904.18	chr5	-0.381480614404699	-0.512207474970124	-0.250753753839275	1.5728874152207e-08	1.37705322284415e-06
microtubule-based movement	DYNLRB2	ENSG00000168589.15	chr16	-0.381042306315375	-0.552335261158184	-0.209749351472565	1.46965365886106e-05	0.000259254948303811
Cysteine and methionine metabolism	PYCR3	ENSG00000104524.14	chr8	-0.380825363605696	-0.554888963569274	-0.206761763642118	2.01834737138639e-05	0.000331784715963798
Valine, leucine and isoleucine degradation	PYCR3	ENSG00000104524.14	chr8	-0.380825363605696	-0.554888963569274	-0.206761763642118	2.01834737138639e-05	0.000331784715963798
cellular modified amino acid metabolic process	PYCR3	ENSG00000104524.14	chr8	-0.380825363605696	-0.554888963569274	-0.206761763642118	2.01834737138639e-05	0.000331784715963798
organic acid catabolic process	PYCR3	ENSG00000104524.14	chr8	-0.380825363605696	-0.554888963569274	-0.206761763642118	2.01834737138639e-05	0.000331784715963798
monocarboxylic acid metabolic process	PYCR3	ENSG00000104524.14	chr8	-0.380825363605696	-0.554888963569274	-0.206761763642118	2.01834737138639e-05	0.000331784715963798
monocarboxylic acid metabolic process	ACOXL	ENSG00000153093.20	chr2	-0.378990523403293	-0.629647976669277	-0.128333070137308	0.00310186044605324	0.0148979636662286
organic acid catabolic process	ACOXL	ENSG00000153093.20	chr2	-0.378990523403293	-0.629647976669277	-0.128333070137308	0.00310186044605324	0.0148979636662286
monocarboxylic acid catabolic process	ACOXL	ENSG00000153093.20	chr2	-0.378990523403293	-0.629647976669277	-0.128333070137308	0.00310186044605324	0.0148979636662286
estrous cycle	MDK	ENSG00000110492.16	chr11	-0.378708918471761	-0.566995167680841	-0.190422669262681	8.72922845084027e-05	0.0010123192732483
NABA MATRISOME ASSOCIATED	MDK	ENSG00000110492.16	chr11	-0.378708918471761	-0.566995167680841	-0.190422669262681	8.72922845084027e-05	0.0010123192732483
Carbon metabolism	ST6GALNAC1	ENSG00000070526.15	chr17	-0.378582594211367	-0.612850079086484	-0.14431510933625	0.00158118258025404	0.00894888768385597
NABA MATRISOME ASSOCIATED	MMP28	ENSG00000271447.6	chr17	-0.375361984648398	-0.534048632338041	-0.216675336958755	4.16246635315381e-06	9.79042459150589e-05
Trans-sulfuration, one-carbon metabolism and related pathways	DMGDH	ENSG00000132837.15	chr5	-0.375197739110813	-0.560824046930404	-0.189571431291222	8.06285214167646e-05	0.000949672782345793
organic acid catabolic process	DMGDH	ENSG00000132837.15	chr5	-0.375197739110813	-0.560824046930404	-0.189571431291222	8.06285214167646e-05	0.000949672782345793
Glycine, serine and threonine metabolism	DMGDH	ENSG00000132837.15	chr5	-0.375197739110813	-0.560824046930404	-0.189571431291222	8.06285214167646e-05	0.000949672782345793
cellular modified amino acid metabolic process	DMGDH	ENSG00000132837.15	chr5	-0.375197739110813	-0.560824046930404	-0.189571431291222	8.06285214167646e-05	0.000949672782345793
monocarboxylic acid metabolic process	MED29	ENSG00000063322.15	chr19	-0.373639073102547	-0.490112762939159	-0.257165383265935	5.71200319237113e-10	1.15936977730177e-07
NABA MATRISOME ASSOCIATED	FREM1	ENSG00000164946.20	chr9	-0.366776517952701	-0.581472845004395	-0.152080190901007	0.000843079851408889	0.00561380353640013
NABA MATRISOME ASSOCIATED	PAPPA2	ENSG00000116183.11	chr1	-0.364414764887509	-0.554966486095918	-0.173863043679101	0.00018942338509771	0.00184518672447858
monocarboxylic acid metabolic process	EPHX2	ENSG00000120915.14	chr8	-0.363688201290067	-0.487565074619252	-0.239811327960883	1.29375793403678e-08	1.25680608071532e-06
response to toxic substance	EPHX2	ENSG00000120915.14	chr8	-0.363688201290067	-0.487565074619252	-0.239811327960883	1.29375793403678e-08	1.25680608071532e-06
monocarboxylic acid catabolic process	EPHX2	ENSG00000120915.14	chr8	-0.363688201290067	-0.487565074619252	-0.239811327960883	1.29375793403678e-08	1.25680608071532e-06
Biological oxidations	EPHX2	ENSG00000120915.14	chr8	-0.363688201290067	-0.487565074619252	-0.239811327960883	1.29375793403678e-08	1.25680608071532e-06
acyl-CoA metabolic process	PRODH	ENSG00000100033.17	chr22	-0.361932681011883	-0.632419854711297	-0.0914455073124681	0.00881039695362998	0.0327715342232714
organic acid catabolic process	PRODH	ENSG00000100033.17	chr22	-0.361932681011883	-0.632419854711297	-0.0914455073124681	0.00881039695362998	0.0327715342232714
cellular modified amino acid metabolic process	PRODH	ENSG00000100033.17	chr22	-0.361932681011883	-0.632419854711297	-0.0914455073124681	0.00881039695362998	0.0327715342232714
Valine, leucine and isoleucine degradation	PRODH	ENSG00000100033.17	chr22	-0.361932681011883	-0.632419854711297	-0.0914455073124681	0.00881039695362998	0.0327715342232714
